Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
,,"38.067859, 14.632672",Sant'Agata di Militello,http://pleiades.stoa.org/places/880325202,,,,,,,,,,,,,,,,,,,,,,,
,,"37.62606, 13.48976",Santo Stefano Quisquina,http://www.geonames.org/2523247/santo-stefano-quisquina.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.79014, 14.7028",Scicli,http://pleiades.stoa.org/places/462485,,,,,,,,,,,,,,,,,,,,,,,
,,"37.29548, 14.84058",Scordia,http://www.geonames.org/2523180/scordia.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.07396, 13.5385",Solanto,http://www.geonames.org/8951582/solanto.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.96151, 14.9736",Testa dell'Acqua (Mezzo Gregorio),http://www.geonames.org/2522942/testa-dell-acqua.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.12539, 15.11348",Tonnarella,http://www.geonames.org/6604722/tonnarella.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.04673, 15.0967",Tripi,http://www.geonames.org/2522853/tripi.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.82371, 13.56889",Vicari,http://www.geonames.org/2522774/vicari.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.95151, 14.52788",Vittoria,http://www.geonames.org/2522713/vittoria.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.02318, 14.49302",Acate,http://www.geonames.org/6542105/acate.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.73005, 13.18425",Contessa Entellina,http://www.geonames.org/2524940/contessa-entellina.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.08839, 15.21314",Belvedere,http://www.geonames.org/2525566/belvedere.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.00893, 14.25757",Castel di Tusa,http://www.geonames.org/2525099/castel-di-tusa.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.85907, 15.11445",Lido di Noto,http://www.geonames.org/2523996/lido-di-noto.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.72088, 13.43435",Prizzi,http://www.geonames.org/2523678/prizzi.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.9084, 15.13937",Avola,http://www.geonames.org/2525643/avola.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.97331, 13.18889",San Giuseppe Jato,http://www.geonames.org/2523451/san-giuseppe-jato.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.24065, 15.22121",Augusta,http://www.geonames.org/2525646/augusta.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.41468, 14.44542",Aidone,http://www.geonames.org/2525761/aidone.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.5984, 13.9152",Marianopoli,http://www.geonames.org/2524275/marianopoli.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.9144, 12.86364",Calatafimi Segesta,http://www.geonames.org/2525458/calatafimi.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.68081, 12.79194",Castelvetrano,http://www.geonames.org/2525083/castelvetrano.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.08505, 13.53505",Santa Flavia,http://www.geonames.org/6541960/santa-flavia.html,,,,,,,,,,,,,,,,,,,,,,,
,,"38.14736, 14.96409",Patti,http://www.geonames.org/2523864/patti.html,,,,,,,,,,,,,,,,,,,,,,,
,https://pleiades.stoa.org/places/462361,"37.8497898, 13.882395",Monte Riparato di Caltavuturo,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
